ID,Status,Type,Subtype,Requirement,Rationale,Source,Locator,Comment
SR21,covered,NFR,Usability,An NLP4RE tool should expose confidence or probability scores with its outputs.,Exposing confidence scores fosters interpretability and trust in system outputs.,💬 AIRE Activity,"NFR ""trustworthiness""","I tried to map trustworthiness into something tangible. Can be connected with ""explainable""."
SR22,covered,NFR,Reliability,An NLP4RE tool should monitor and mitigate bias originating from training data or embedded models.,Monitoring and mitigating data or model bias ensures fair and reliable RE insights.,💬 AIRE Activity,"GenAI ""data bias""","Linked to explainability of modules, bias claims from genAI modules can be considered."
SR23,system-only,NFR,Scalability,An NLP4RE tool should be capable of adapting to different application domains.,Domain adaptability enables tool reuse across diverse RE application areas.,💬 AIRE Activity,"GenAI ""domain understanding""; GenAI ""adaptability""",Similar to previous
SR24,system-only,NFR,Scalability,An NLP4RE tool should handle long or complex textual contexts beyond typical model input limits.,Handling long or complex contexts improves scalability and analytical depth.,💬 AIRE Activity,"GenAI ""context limitation""",
SR25,covered,NFR,Usability,An NLP4RE tool should provide human-understandable limitations of the input it is capable of processing.,Declaring input limitations helps users understand tool applicability and boundaries.,💬 AIRE Activity,"GenAI ""context limitation""",Stemmed from previous
SR26,fundamental,FR,-,An NLP4RE tool should employ natural language processing techniques.,Employing NLP techniques enables automated analysis and interpretation of textual artifacts.,📜 Literature,[1]; [3],"According to [3], among most frequently used: POS Tagging; Tokenization; Parsing; Stop-word Removal; Term Extraction; Stemming; Lemmatization; Similarity Measures; TF-IDF; Sentence Splitting; Syntactic Structure; Linguistic Rules; Chunking; ML Classification; NER; SRL; ... (see Fig. 15)"
SR27,fundamental,FR,-,An NLP4RE tool should address a particular natural language processing task,Addressing specific NLP tasks focuses tool functionality toward targeted RE objectives.,📜 Literature,[3]; [4],"According to [3]: Modeling; Detection; Extraction; Classification; Tracing & Relating; Search & Retrieval
According to [4]: Elicitation; Validation; SE Tasks; Modeling; Classification; Tracing; Documentation; Defect Detection; Legal Analysis; Retrieval; Terminology Extraction
According to [5]: Elicitation; SE Tasks; Defect Detection; Modelling; Change Impact Analysis; Classification; Documentation; Retrieval; Terminology Extraction; Tracing
According to [1]: generation, detection, extraction, classification, transformation, tracing & relating, search & retrieval."
SR28,fundamental,FR,-,An NLP4RE tool should support or automate a requirements engineering task.,Supporting RE tasks aligns the tool with the fundamental goals of the NLP4RE domain.,📜 Literature,[1]; [3]; [4],"According to [3]: Elicitation; Analysis; Modelling; Management; Validation & Verification; Testing; Design
According to [4]: Elicitation; Analysis; Modeling; Management; Validation & Verification; Other
According to [1]: elicitation, analysis, modeling, validation & verification, management, multiple, or other."
SR29,covered,NFR,Usability,An NLP4RE tool should include a descriptive name and a comprehensive description detailing its objectives and underlying technologies.,A clear name and comprehensive description help users understand the tool’s objectives and allow researchers to evaluate its key technologies and extensibility [1].,📜 Literature,[1],
SR30,covered,NFR,Usability,"An NLP4RE tool should be made publicly available online to enable replication, reuse, and continuous evolution.","Making NLP4RE tools available online enables replication, reuse, and continuous evolution, as recommended for ensuring accessibility and long-term research impact [1][2][3].",📜 Literature,[1]; [2]; [3],Keep track also of distinction between process & product
SR31,covered,NFR,Usability,An NLP4RE tool should be released under an open-source license to promote accessibility and collaborative development.,"Choosing an open-source license facilitates access, use, and evolution of NLP4RE tools by explicitly granting permissions beyond intellectual property restrictions [1].",📜 Literature,[1],
SR32,covered,NFR,Maintainability,"An NLP4RE tool should be thoroughly documented to support its understanding, use, and future evolution.","Thorough documentation, including task structure and targeted RE phases, ensures that NLP4RE tools can be effectively understood, used, and evolved by others [1][2][3].",📜 Literature,[1]; [2]; [3],
SR33,covered,NFR,Maintainability,The dependencies of an NLP4RE tool should be documented and preserved.,Documenting and preserving dependencies prevents tool degradation due to ecosystem changes [2].,📜 Literature,[2],This motivates containerization.
SR36,covered,FR,-,An NLP4RE tool should be able to produce a specific type of software artifact.,Generating specific software artifacts supports RE workflows by producing actionable outputs.,📜 Literature,[4],According to [4]: requirement specification; requirement analysis report; models and designs; compliance documentation and legal artifacts; user profiles; code artifacts; interview scripts and questionnaires; traceability artifacts; testing artifacts; process descriptions
SR37,covered,FR,-,An NLP4RE tool should provide traceability between input and output artifacts.,Traceability between inputs and outputs enables analysis of artifact evolution and rationale in RE tasks.,📜 Literature,[4],This is another descriptor for NLP4RE tools. See table 9 in [4]
SR38,covered,NFR,Usability,An NLP4RE tool should be able to produce output artifacts in various data formats.,Producing output in multiple formats increases interoperability and usability across RE tools and datasets.,"💬 AIRE Activity, 🧭 Ontologies", [3]; [4]; [5],
